state_code,district_code,level_name,statename,districtname,date,value,variable,graph_title
1,12,district,Jammu & Kashmir,Pulwama,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,14,district,Jammu & Kashmir,Anantnag,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,15,district,Jammu & Kashmir,Kulgam,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,16,district,Jammu & Kashmir,Doda,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,17,district,Jammu & Kashmir,Ramban,2015-01-01,10.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,18,district,Jammu & Kashmir,Kishtwar,2015-01-01,4.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,19,district,Jammu & Kashmir,Udhampur,2015-01-01,2.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,20,district,Jammu & Kashmir,Reasi,2015-01-01,4.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,21,district,Jammu & Kashmir,Jammu,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,22,district,Jammu & Kashmir,Samba,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,23,district,Himachal Pradesh,Chamba,2015-01-01,3.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,24,district,Himachal Pradesh,Kangra,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,25,district,Himachal Pradesh,Lahul & Spiti,2015-01-01,3.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,26,district,Himachal Pradesh,Kullu,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,27,district,Himachal Pradesh,Mandi,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,28,district,Himachal Pradesh,Hamirpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,29,district,Himachal Pradesh,Una,2015-01-01,4.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,30,district,Himachal Pradesh,Bilaspur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,31,district,Himachal Pradesh,Solan,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,32,district,Himachal Pradesh,Sirmaur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,33,district,Himachal Pradesh,Shimla,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
2,34,district,Himachal Pradesh,Kinnaur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,35,district,Punjab,Gurdaspur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,36,district,Punjab,Kapurthala,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,37,district,Punjab,Jalandhar,2015-01-01,2.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,38,district,Punjab,Hoshiarpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,39,district,Punjab,Shahid Bhagat Singh Nagar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,40,district,Punjab,Fatehgarh Sahib,2015-01-01,2.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,41,district,Punjab,Ludhiana,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,42,district,Punjab,Moga,2015-01-01,3.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,43,district,Punjab,Firozpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,44,district,Punjab,Muktsar,2015-01-01,4.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,50,district,Punjab,Tarn Taran,2015-01-01,5.10,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,51,district,Punjab,Rupnagar,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,52,district,Punjab,Sahibzada Ajit Singh Nagar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,53,district,Punjab,Sangrur,2015-01-01,5.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,45,district,Punjab,Faridkot,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,46,district,Punjab,Bathinda,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,47,district,Punjab,Mansa,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,48,district,Punjab,Patiala,2015-01-01,2.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,49,district,Punjab,Amritsar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,63,district,Uttarakhand,Bageshwar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
3,54,district,Punjab,Barnala,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,56,district,Uttarakhand,Uttarkashi,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,57,district,Uttarakhand,Chamoli,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,58,district,Uttarakhand,Rudraprayag,2015-01-01,4.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,59,district,Uttarakhand,Tehri Garhwal,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,60,district,Uttarakhand,Dehradun,2015-01-01,1.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,61,district,Uttarakhand,Garhwal,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,62,district,Uttarakhand,Pithoragarh,2015-01-01,2.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,65,district,Uttarakhand,Champawat,2015-01-01,2.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,66,district,Uttarakhand,Nainital,2015-01-01,4.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,67,district,Uttarakhand,Udham Singh Nagar,2015-01-01,1.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,68,district,Uttarakhand,Hardwar,2015-01-01,5.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,69,district,Haryana,Panchkula,2015-01-01,9.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,70,district,Haryana,Ambala,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,71,district,Haryana,Yamunanagar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,72,district,Haryana,Kurukshetra,2015-01-01,7.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
5,64,district,Uttarakhand,Almora,2015-01-01,4.10,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,73,district,Haryana,Kaithal,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,74,district,Haryana,Karnal,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,76,district,Haryana,Sonipat,2015-01-01,3.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,77,district,Haryana,Jind,2015-01-01,3.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,78,district,Haryana,Fatehabad,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,79,district,Haryana,Sirsa,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,80,district,Haryana,Hisar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,81,district,Haryana,Bhiwani,2015-01-01,7.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,82,district,Haryana,Rohtak,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,83,district,Haryana,Jhajjar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,84,district,Haryana,Mahendragarh,2015-01-01,5.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,85,district,Haryana,Rewari,2015-01-01,2.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
6,87,district,Haryana,Mewat,2015-01-01,2.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,99,district,Rajasthan,Ganganagar,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,100,district,Rajasthan,Hanumangarh,2015-01-01,5.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,101,district,Rajasthan,Bikaner,2015-01-01,3.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,106,district,Rajasthan,Dhaulpur,2015-01-01,5.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,107,district,Rajasthan,Karauli,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,108,district,Rajasthan,Sawai Madhopur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,109,district,Rajasthan,Dausa,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,110,district,Rajasthan,Jaipur,2015-01-01,1.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,102,district,Rajasthan,Churu,2015-01-01,2.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,103,district,Rajasthan,Jhunjhunun,2015-01-01,4.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,104,district,Rajasthan,Alwar,2015-01-01,2.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,105,district,Rajasthan,Bharatpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,111,district,Rajasthan,Sikar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,112,district,Rajasthan,Nagaur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,113,district,Rajasthan,Jodhpur,2015-01-01,1.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,115,district,Rajasthan,Barmer,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,116,district,Rajasthan,Jalor,2015-01-01,3.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,117,district,Rajasthan,Sirohi,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,118,district,Rajasthan,Pali,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,119,district,Rajasthan,Ajmer,2015-01-01,1.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,128,district,Rajasthan,Baran,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,120,district,Rajasthan,Tonk,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,121,district,Rajasthan,Bundi,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,122,district,Rajasthan,Bhilwara,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,123,district,Rajasthan,Rajsamand,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,124,district,Rajasthan,Dungarpur,2015-01-01,3.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,125,district,Rajasthan,Banswara,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,126,district,Rajasthan,Chittaurgarh,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,127,district,Rajasthan,Kota,2015-01-01,1.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,130,district,Rajasthan,Udaipur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,131,district,Rajasthan,Pratapgarh,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,132,district,Uttar Pradesh,Saharanpur,2015-01-01,2.10,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,133,district,Uttar Pradesh,Muzaffarnagar,2015-01-01,5.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,134,district,Uttar Pradesh,Bijnor,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,135,district,Uttar Pradesh,Moradabad,2015-01-01,3.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,136,district,Uttar Pradesh,Rampur,2015-01-01,5.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,137,district,Uttar Pradesh,Jyotiba Phule Nagar,2015-01-01,3.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
8,129,district,Rajasthan,Jhalawar,2015-01-01,2.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,138,district,Uttar Pradesh,Meerut,2015-01-01,3.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,139,district,Uttar Pradesh,Baghpat,2015-01-01,6.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,140,district,Uttar Pradesh,Ghaziabad,2015-01-01,3.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,141,district,Uttar Pradesh,Gautam Buddha Nagar,2015-01-01,2.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,142,district,Uttar Pradesh,Bulandshahr,2015-01-01,3.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,143,district,Uttar Pradesh,Aligarh,2015-01-01,0.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,144,district,Uttar Pradesh,Mahamaya Nagar,2015-01-01,4.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,145,district,Uttar Pradesh,Mathura,2015-01-01,10.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,146,district,Uttar Pradesh,Agra,2015-01-01,3.30,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,148,district,Uttar Pradesh,Mainpuri,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,149,district,Uttar Pradesh,Budaun,2015-01-01,2.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,150,district,Uttar Pradesh,Bareilly,2015-01-01,6.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,151,district,Uttar Pradesh,Pilibhit,2015-01-01,1.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,152,district,Uttar Pradesh,Shahjahanpur,2015-01-01,1.90,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,153,district,Uttar Pradesh,Kheri,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,154,district,Uttar Pradesh,Sitapur,2015-01-01,7.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,155,district,Uttar Pradesh,Hardoi,2015-01-01,9.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,147,district,Uttar Pradesh,Firozabad,2015-01-01,3.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,156,district,Uttar Pradesh,Unnao,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,157,district,Uttar Pradesh,Lucknow,2015-01-01,1.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,158,district,Uttar Pradesh,Rae Bareli,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,159,district,Uttar Pradesh,Farrukhabad,2015-01-01,5.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,160,district,Uttar Pradesh,Kannauj,2015-01-01,10.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,161,district,Uttar Pradesh,Etawah,2015-01-01,4.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,162,district,Uttar Pradesh,Auraiya,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,163,district,Uttar Pradesh,Kanpur Dehat,2015-01-01,2.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,164,district,Uttar Pradesh,Kanpur Nagar,2015-01-01,2.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,165,district,Uttar Pradesh,Jalaun,2015-01-01,5.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,166,district,Uttar Pradesh,Jhansi,2015-01-01,3.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,167,district,Uttar Pradesh,Lalitpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,168,district,Uttar Pradesh,Hamirpur,2015-01-01,5.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,169,district,Uttar Pradesh,Mahoba,2015-01-01,2.20,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,170,district,Uttar Pradesh,Banda,2015-01-01,2.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,171,district,Uttar Pradesh,Chitrakoot,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
9,172,district,Uttar Pradesh,Fatehpur,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
